2022-06-20 19:44:35.752086 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:37.768174 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:37.770173 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:39.796169 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:39.799168 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:41.818179 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:41.828177 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:41.830176 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:43.838814 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:43.841815 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:45.857137 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:45.871306 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:47.882652 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:47.885030 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:49.907438 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:49.917337 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:44:49.918337 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:51.942100 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:51.945098 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:53.967318 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:53.970211 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:55.983674 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:55.986684 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:44:58.018821 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:44:58.020818 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:44:58.026816 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:00.040518 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:00.043513 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:02.056266 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:02.058078 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:04.084928 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:04.088922 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:06.109800 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:06.114800 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:06.116802 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from broker, success
2022-06-20 19:45:08.128289 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:08.131274 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:10.143838 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
2022-06-20 19:45:10.145840 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:12.173567 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to broker, success
2022-06-20 19:45:12.177563 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Get file from Sender, success
2022-06-20 19:45:14.200037 file : testfile2.hwp md5 Checksum : d7d8fbf3ce8e670998c5cea815e51689 Send file to Receiver, success
